motion,class,pelvis_bin,swing_bin,support,split,pelvis,swing
left_3304,P0S0,0,0,L,train,0.4861,0.1459
left_5905,P0S0,0,0,L,train,0.4651,0.2835
left_1388,P0S0,0,0,L,train,0.4422,0.1346
left_9739,P0S0,0,0,L,train,0.4877,0.1528
left_8687,P0S0,0,0,L,train,0.5093,0.2668
left_9781,P0S0,0,0,L,train,0.4714,0.1129
left_9879,P0S0,0,0,L,train,0.5029,0.1662
left_6025,P0S0,0,0,L,train,0.4922,0.2136
left_9861,P0S0,0,0,L,train,0.4553,0.2573
left_2977,P0S0,0,0,L,train,0.4887,0.1873
left_3102,P0S0,0,0,L,train,0.4232,0.1272
left_1384,P0S0,0,0,L,train,0.4336,0.1888
left_294,P0S0,0,0,L,train,0.4788,0.2122
left_8069,P0S0,0,0,L,train,0.4104,0.1612
left_4090,P0S0,0,0,L,train,0.4938,0.1951
left_6846,P0S0,0,0,L,train,0.4838,0.1037
left_7847,P0S0,0,0,L,train,0.4859,0.2261
left_5984,P0S0,0,0,L,train,0.4851,0.2408
left_3991,P0S0,0,0,L,train,0.4556,0.2594
left_1092,P0S0,0,0,L,train,0.4985,0.1171
left_9701,P0S0,0,0,L,train,0.4517,0.0987
left_1206,P0S0,0,0,L,train,0.4461,0.2027
left_9931,P0S0,0,0,L,train,0.47,0.1163
left_6124,P0S0,0,0,L,train,0.4529,0.1209
left_6840,P0S0,0,0,L,train,0.4739,0.2336
left_337,P0S0,0,0,L,train,0.4472,0.2608
left_2086,P0S0,0,0,L,train,0.4377,0.2348
left_2952,P0S0,0,0,L,train,0.4515,0.2135
left_5184,P0S0,0,0,L,train,0.4716,0.2716
left_2220,P0S0,0,0,L,train,0.4053,0.168
left_9773,P0S0,0,0,L,train,0.4798,0.2735
left_43,P0S0,0,0,L,train,0.4533,0.2122
left_103,P0S0,0,0,L,train,0.437,0.0973
left_2910,P0S0,0,0,L,train,0.4751,0.1584
left_3006,P0S0,0,0,L,train,0.4415,0.247
left_2020,P0S0,0,0,L,train,0.4799,0.2588
left_3926,P0S0,0,0,L,train,0.4813,0.2629
left_6084,P0S0,0,0,L,train,0.4802,0.1908
left_6973,P0S0,0,0,L,train,0.4861,0.2725
left_2076,P0S0,0,0,L,train,0.5028,0.1772
left_1077,P0S0,0,0,L,test,0.4751,0.1787
left_2303,P0S0,0,0,L,test,0.4881,0.2122
left_8989,P0S0,0,0,L,test,0.4715,0.2733
left_8128,P0S0,0,0,L,val,0.455,0.2803
left_1944,P0S0,0,0,L,val,0.4178,0.2196
left_8051,P0S0,0,0,L,val,0.4205,0.1046
left_105,P0S0,0,0,L,test,0.4743,0.1713
left_3118,P0S0,0,0,L,val,0.4374,0.1146
left_223,P0S0,0,0,L,val,0.4229,0.1111
left_5911,P0S0,0,0,L,test,0.4407,0.1641
right_2374,P0S0,0,0,R,train,0.4326,0.2086
right_9534,P0S0,0,0,R,train,0.4215,0.1682
right_3821,P0S0,0,0,R,train,0.4348,0.1596
right_3498,P0S0,0,0,R,train,0.4991,0.1529
right_4686,P0S0,0,0,R,train,0.5042,0.2837
right_7572,P0S0,0,0,R,train,0.4431,0.1999
right_605,P0S0,0,0,R,train,0.5073,0.1516
right_3388,P0S0,0,0,R,train,0.4253,0.2005
right_8260,P0S0,0,0,R,train,0.4819,0.1074
right_9351,P0S0,0,0,R,train,0.4908,0.1653
right_6486,P0S0,0,0,R,train,0.4809,0.1699
right_481,P0S0,0,0,R,train,0.4907,0.2643
right_7477,P0S0,0,0,R,train,0.4848,0.2785
right_5543,P0S0,0,0,R,train,0.4958,0.1229
right_7220,P0S0,0,0,R,train,0.4694,0.2297
right_7197,P0S0,0,0,R,train,0.4272,0.2099
right_4504,P0S0,0,0,R,train,0.4984,0.2784
right_851,P0S0,0,0,R,train,0.5088,0.2737
right_7355,P0S0,0,0,R,train,0.467,0.2381
right_2775,P0S0,0,0,R,train,0.4984,0.1511
right_7657,P0S0,0,0,R,train,0.4793,0.1231
right_5355,P0S0,0,0,R,train,0.4656,0.1704
right_602,P0S0,0,0,R,train,0.5062,0.2305
right_6688,P0S0,0,0,R,train,0.3852,0.1263
right_8207,P0S0,0,0,R,train,0.4271,0.1694
right_3518,P0S0,0,0,R,train,0.4686,0.2837
right_3524,P0S0,0,0,R,train,0.4381,0.1722
right_2636,P0S0,0,0,R,train,0.4802,0.2837
right_6665,P0S0,0,0,R,train,0.4407,0.2628
right_6327,P0S0,0,0,R,train,0.4513,0.2807
right_7216,P0S0,0,0,R,train,0.4943,0.2138
right_5358,P0S0,0,0,R,train,0.4722,0.1207
right_9435,P0S0,0,0,R,train,0.4482,0.2409
right_1666,P0S0,0,0,R,train,0.4244,0.2337
right_2705,P0S0,0,0,R,train,0.4897,0.1625
right_9506,P0S0,0,0,R,train,0.4473,0.1559
right_3717,P0S0,0,0,R,train,0.4592,0.1644
right_7315,P0S0,0,0,R,train,0.4518,0.2581
right_7564,P0S0,0,0,R,train,0.4469,0.1432
right_8423,P0S0,0,0,R,train,0.4206,0.2667
right_6574,P0S0,0,0,R,val,0.4552,0.1581
right_4610,P0S0,0,0,R,val,0.5085,0.2027
right_2640,P0S0,0,0,R,val,0.5086,0.1496
right_4781,P0S0,0,0,R,val,0.4968,0.1795
right_1785,P0S0,0,0,R,test,0.4296,0.2269
right_2408,P0S0,0,0,R,val,0.4801,0.2183
right_9199,P0S0,0,0,R,test,0.4787,0.1476
right_881,P0S0,0,0,R,test,0.5009,0.1648
right_7499,P0S0,0,0,R,test,0.3987,0.1285
right_9227,P0S0,0,0,R,test,0.4867,0.2818
left_2349,P0S1,0,1,L,train,0.5106,0.3904
left_416,P0S1,0,1,L,train,0.4379,0.3411
left_4869,P0S1,0,1,L,train,0.4833,0.3902
left_4855,P0S1,0,1,L,train,0.5105,0.3279
left_6955,P0S1,0,1,L,train,0.4933,0.4536
left_4073,P0S1,0,1,L,train,0.4444,0.4445
left_6934,P0S1,0,1,L,train,0.4567,0.3181
left_5826,P0S1,0,1,L,train,0.4792,0.2937
left_2080,P0S1,0,1,L,train,0.4437,0.361
left_5057,P0S1,0,1,L,train,0.4885,0.294
left_4036,P0S1,0,1,L,train,0.4711,0.3433
left_4035,P0S1,0,1,L,train,0.4955,0.4781
left_1360,P0S1,0,1,L,train,0.4423,0.334
left_3892,P0S1,0,1,L,train,0.5023,0.3852
left_1284,P0S1,0,1,L,train,0.4813,0.3837
left_8103,P0S1,0,1,L,train,0.4692,0.4283
left_5207,P0S1,0,1,L,train,0.4469,0.4216
left_4185,P0S1,0,1,L,train,0.4475,0.3374
left_3332,P0S1,0,1,L,train,0.4402,0.3117
left_9099,P0S1,0,1,L,train,0.4961,0.3854
left_9674,P0S1,0,1,L,train,0.4317,0.3131
left_3008,P0S1,0,1,L,train,0.4767,0.2981
left_4899,P0S1,0,1,L,train,0.5083,0.4306
left_9712,P0S1,0,1,L,train,0.4833,0.3325
left_8879,P0S1,0,1,L,train,0.5016,0.3174
left_7120,P0S1,0,1,L,train,0.4956,0.4061
left_5898,P0S1,0,1,L,train,0.4831,0.463
left_4228,P0S1,0,1,L,train,0.4731,0.4385
left_8961,P0S1,0,1,L,train,0.4674,0.2856
left_4123,P0S1,0,1,L,train,0.477,0.4673
left_5093,P0S1,0,1,L,train,0.445,0.4536
left_6198,P0S1,0,1,L,train,0.4633,0.3422
left_2976,P0S1,0,1,L,train,0.4776,0.3505
left_4074,P0S1,0,1,L,train,0.4879,0.359
left_3273,P0S1,0,1,L,train,0.4505,0.4525
left_1249,P0S1,0,1,L,train,0.4881,0.4245
left_7950,P0S1,0,1,L,train,0.4618,0.4209
left_2001,P0S1,0,1,L,train,0.4415,0.3462
left_5957,P0S1,0,1,L,train,0.4724,0.3259
left_7731,P0S1,0,1,L,train,0.4683,0.4692
left_2341,P0S1,0,1,L,val,0.4993,0.4035
left_5194,P0S1,0,1,L,val,0.481,0.2853
left_9989,P0S1,0,1,L,test,0.4667,0.4168
left_5235,P0S1,0,1,L,test,0.4684,0.3923
left_2937,P0S1,0,1,L,test,0.5043,0.3369
left_1166,P0S1,0,1,L,val,0.499,0.4379
left_13,P0S1,0,1,L,test,0.4974,0.3809
left_7180,P0S1,0,1,L,val,0.5097,0.372
left_9810,P0S1,0,1,L,test,0.5088,0.3144
left_2959,P0S1,0,1,L,val,0.5077,0.4013
right_9210,P0S1,0,1,R,train,0.5064,0.3402
right_1445,P0S1,0,1,R,train,0.4932,0.4079
right_5649,P0S1,0,1,R,train,0.4859,0.3993
right_1743,P0S1,0,1,R,train,0.4472,0.4083
right_2553,P0S1,0,1,R,train,0.5111,0.4661
